smiles,smiles_emb,pIC50,norm_pIC50,stand_pIC50,FGs,num_FG
Cc1csc(-c2nc(N(C)C)nc3ccsc23)n1,"[32, 1, 2, 3, 2, 7, 2, 5, 23, 2, 4, 11, 2, 5, 15, 5, 1, 6, 1, 6, 11, 2, 14, 2, 2, 7, 2, 4, 14, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.89,1.0526315789473688,1.5506228235756834,"[5, 9, 12, 18, 24, 26]",6
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],"[32, 1, 9, 1, 5, 8, 9, 6, 1, 3, 8, 1, 5, 1, 6, 15, 1, 5, 1, 6, 8, 1, 5, 1, 5, 8, 9, 6, 9, 1, 6, 1, 3, 2, 3, 2, 2, 2, 2, 2, 3, 10, 15, 25, 13, 5, 8, 9, 6, 10, 9, 23, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",4.65,-0.12188365650969517,-1.9674547646692384,"[2, 3, 6, 8, 11, 15, 16, 21, 23, 26, 28, 47, 42, 43]",14
Nc1nc(-c2ccco2)c2ncn(Cc3ccc([N+](=O)[O-])cc3)c2n1,"[32, 15, 2, 3, 11, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 2, 4, 11, 2, 11, 5, 1, 2, 14, 2, 2, 2, 5, 10, 15, 25, 13, 5, 8, 9, 6, 10, 9, 23, 13, 6, 2, 2, 14, 6, 2, 4, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.43,0.37119113573407203,-0.490525965830569,"[1, 4, 12, 16, 19, 27, 30, 31, 42]",9
Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccccc3)ncnc21,"[32, 1, 11, 3, 2, 5, 23, 2, 4, 2, 2, 2, 17, 4, 6, 11, 2, 4, 2, 5, 15, 1, 5, 8, 9, 6, 1, 2, 14, 2, 2, 2, 2, 2, 14, 6, 11, 2, 11, 2, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",6.96,0.5180055401662051,-0.05076626729995363,"[2, 11, 12, 18, 20, 21, 33, 37]",8
N#Cc1cccc(-c2nc(N)c3nc(-c4ccccc4)sc3n2)c1,"[32, 15, 20, 1, 2, 3, 2, 2, 2, 2, 5, 23, 2, 4, 11, 2, 5, 15, 6, 2, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 2, 2, 21, 6, 7, 2, 14, 11, 4, 6, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.47,0.6592797783933518,0.3723987256257325,"[1, 3, 12, 15, 19, 30, 34]",7
COc1c(C(=O)Nc2nccs2)ccc(NC(=O)CC(C)(C)C)c1F,"[32, 1, 9, 2, 3, 2, 5, 1, 5, 8, 9, 6, 15, 2, 4, 11, 2, 2, 7, 4, 6, 2, 2, 2, 5, 15, 1, 5, 8, 9, 6, 1, 1, 5, 1, 6, 5, 1, 6, 1, 6, 2, 3, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",7.92,0.7839335180055403,0.7457796017366324,"[2, 7, 10, 12, 15, 18, 26, 29, 25, 43]",10
Cn1c(=O)c2c(nc3n2CCCN3C2CCCCCCC2)n(C)c1=O,"[32, 1, 11, 3, 2, 5, 8, 9, 6, 2, 4, 2, 5, 11, 2, 14, 11, 4, 1, 1, 1, 15, 14, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 6, 11, 5, 1, 6, 2, 3, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.82,0.2022160664819946,-0.9966644867808993,"[2, 7, 13, 16, 21, 34, 41]",7
COc1ccc(NC(=O)Nc2nc3nn(CCc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1,"[32, 1, 9, 2, 3, 2, 2, 2, 5, 15, 1, 5, 8, 9, 6, 15, 2, 4, 11, 2, 14, 11, 11, 5, 1, 1, 2, 21, 2, 2, 2, 2, 24, 2, 2, 2, 2, 2, 21, 24, 6, 2, 2, 14, 2, 14, 11, 2, 5, 23, 2, 21, 2, 2, 2, 17, 21, 6, 11, 11, 4, 14, 6, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 33]",5.49,0.11080332409972311,-1.2704771292622257,"[2, 54, 55, 58, 13, 15, 9, 10, 18, 21, 22, 46]",12
COc1cccc(CN(C)C)c1OCC(=O)Nc1cc(-n2nc(C)cc2C)nc(-c2ccc(C)o2)n1,"[32, 1, 9, 2, 3, 2, 2, 2, 2, 5, 1, 15, 5, 1, 6, 1, 6, 2, 3, 9, 1, 1, 5, 8, 9, 6, 15, 2, 3, 2, 2, 5, 23, 11, 4, 11, 2, 5, 1, 6, 2, 2, 4, 1, 6, 11, 2, 5, 23, 2, 4, 2, 2, 2, 5, 1, 6, 17, 4, 6, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",8.24,0.8725761772853188,1.0112948914154947,"[2, 53, 55, 11, 19, 26, 21, 24, 32, 33, 43]",11
CN1C(=O)C2C(c3ccncc3N2C)N(C)C1=O,"[32, 1, 15, 3, 1, 5, 8, 9, 6, 1, 4, 1, 5, 2, 14, 2, 2, 11, 2, 2, 14, 15, 4, 1, 6, 15, 5, 1, 6, 1, 3, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.38,0.08033240997229919,-1.3617480100893349,"[29, 2, 32, 4, 7, 25, 17, 21]",8
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,"[32, 9, 8, 1, 5, 2, 3, 2, 2, 2, 5, 9, 1, 1, 15, 4, 1, 1, 1, 1, 1, 4, 6, 2, 2, 3, 6, 2, 3, 2, 5, 23, 2, 4, 2, 2, 2, 5, 9, 6, 2, 2, 4, 6, 7, 2, 4, 2, 2, 5, 9, 6, 2, 2, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]",5.93,0.23268698060941828,-0.9053936059537909,"[1, 3, 11, 14, 36, 41, 48]",7
